task,coder3,coder2,coder1
"city of los angeles to convert bluff top public 24-space surface parking lot to public coastal overlook with raised viewing platforms; benches; landscaping with drought tolerant and non-invasive plants; impervious surfaces; runoff improvements; reconfiguration of terminus of pacific street to provide adequate vehicle turning radius; relocating and upgrading street lighting; and adding 10 on-street parking spaces, at 501 w. paseo del mar at bluff place, san pedro, los angeles county.  ",11,11,11
"jeff elghanayan to demolish driveway, garage, swimming pool and parts of home and add 5,242 sq.ft. with 4,570 cu.yds. of grading, at 2481 monaco drive, laguna beach, orange county.  ",1,1,1
"100 wilshire associates for 9,850 sq.ft. 7 level parking lot, and restaurant on ground floor, at 120 wilshire blvd., santa monica, los angeles county.  ",2,2,2
"edward wedelstadt for 1,131 sq.ft. second story addition, 22 sq.ft. first story addition, interior remodel, and new second story deck to existing 2-story 2,653 sq.ft. single-family home with attached garage, and upgrade of existing septic system, with no grading or changes to existing wood bulkhead or rock revetment, at 27040 malibu cove colony in malibu, los angeles county.  ",1,1,1
"22nd district agricultural association to remove three barn and tack room structures , construct two new barns and tack rooms of similar size in same or adjacent locations, and import 300 cu.yds. of fill to raise structures one foot, at 2260 jimmy durante blvd., del mar, san diego county.  ",2,2,2
"sandra graves to demolish duplex, and construct 3,201 sq.ft. 41-ft-high duplex with tucked-under 4-car garage, at 112 & 114 culver boulevard, playa del rey, los angeles, los angeles county.  ",1,1,1
"south county housing corporation for 48-unit 3-story senior apartment complex, public & visitor parking, and landscaping & benches, on 1.13 acre lot and part of chase park, at 650 jewell avenue, pacific grove, monterey county.  ",2,2,2
"martin colombatto for 2-story 12,765 sq.ft. single-family home, 1469 sq.ft. garage, half basketball court, sand volleyball court, pool & spa, fences, hardscape and landscaping, on vacant coastal bluff top lot, at 4130 calle isabella, san clemente, orange county.  ",1,1,1
"lisa cervantes-morehart to install new concrete bulkhead to protect an existing business/commercial building. the new bulkhead will be installed 10-feet into the bay from the building and will extend the 60-ft. width of the property with a return wall at each terminus, at 2808 lafayette rd., newport beach, orange county.  ",6,6,6
"rdhc., llc to remove stockpile of unpermitted fill  and place 70 cu.yds. of earthen fill to repair breach in existing earthen levee along salmon creek, at 532 hookton road, loleta, humboldt county.  ",7,6,6
"leucadia national corporation to construct 145 ft-long, 22 ft-high seawall on public beach below 633 and 645 circle drive, solana beach, san diego county.  ",6,6,6
"christine lieber to demolish 1-story, 1,056 sq.ft. single-family home and detached garage on canal fronting lot, and construct 2-story, 29-ft. high, 2,905 sq.ft. single-family home with attached 2-car garage, at 403 howland canal, venice, los angeles, los angeles county.  ",1,1,1
"coastline lofts, llc to construct 4-level 45-ft. 4,050 sq.ft., single-family home with attached 2-car garage on vacant lagoon-fronting lot, at 4111 roma court, venice, los angeles, los angeles county.  ",1,1,1
"city of newport beach to remodel and increase height of existing public restroom by more than 10%, and replace 4 piles with four 12",5,5,5
"city of hermosa beach, dept. of public works for pilot phase of hermosa strand infiltration trench project designed to improve shoreline water quality conditions attributed to storm drain discharges during dry weather months. project includes  installation of 1,000 ft. infiltration trench buried 3 to 4 ft. below sand directly seaward of the strand cutoff wall, underground low flow diversion structure and associated pump well and  monitoring plan investigating project effects on ground water elevation and bacteria levels, along the strand between pier avenue and 8th street, hermosa beach, los angeles county.  ",7,7,7
"humboldt county public works for extraction of up to 25,000 cu.yds. of sand & gravel in 2002, and gravel processing activities at worswick gravel bar along east side of eel river, at 1300 fernbridge drive, humboldt county.  ",7,7,7
"josh & adrienne sherman to construct new 4,578 sq.ft., 1-story, home with attached 1,091 sq.ft. garage on vacant 3.53-acre parcel containing native vegetation; also proposed is request for after-the-fact authorization of boundary line adjustment increasing lot from 2.88 acres to 3.53 acres , located west of el camino real and north of la orilla, rancho santa fe, san diego county  ",1,1,1
"daniel ganezer for 44-ft-high 5,188 sq.ft. single-family home with attached 3-car garage, at 143 voyage mall, venice, los angeles, los angeles county.  ",1,1,1
"seaworld of california to relocate fence to accommodate 66 additional employee parking spaces including re-striping, landscaping and pavement repair, at 500 seaworld drive, mission bay park, san diego, san diego county.  ",4,2,2
"soka university of america to expand educational program from 350 to 800 students, including 650 maximum day students  and 150 maximum night student, develop 440,000 sq.ft. of buildings including retention of 18 of 39 existing buildings, 856 off-street parking spaces, redivide 19 lots into 3 lots, rebuild and restore 1,500 foot long section of riparian drainage channel with 47,200 cu.yds. of grading for slope excavation, and road & driveway construction, grade 82,800 cu.yds. for building sites, roads & parking areas, 439 acres of open space, and riding and hiking trails, at 26800 west mulholland highway, calabasas, los angeles county.  ",2,2,2
"city of avalon to remove public pier with 74 timber piles, and replace in same footprint with 108 x 36 concrete public pier supported by eight 24-in. diameter polyethylene-coated steel piles. the new pier will support 1-story fueling station, public restrooms, and cafã© and temporarily re-locate fuel dispensing activities to city pump-a-head dock, at casino point/avalon bay, santa catalina island, los angeles county.  ",3,3,3
"orange county parks for semi-annual outlet maintenance and as-needed minor maintenance consisting of removing sand deposits at end of outlet structures, distributing sand on beach above high tide line, and grading to prepare for recreational use, at poche beach and capistrano beach outlet no. 1, dana point, orange county.  ",7,7,7
"northwestern mutural life to remodel restaurant for two new restaurants, and modify public boardwalk in shoreline village shopping center, at 401 & 407 shoreline village drive, long beach, los angeles county.   ",2,2,2
"chris & felicia evensen to demolish 2,023 sq.ft. 2.5 level single-family home and demolish detached 1,346 sq.ft., 1-story, 3-car garage and carport at toe of bluff and construct new 3,880 sq.ft. 3-level single-family home at top of coastal bluff and construct detached 914 sq.ft., 1-story, 3-car garage at toe of bluff; retain existing bluff face stairway with changes to connect to new residence; construct new funicular on bluff face to provide secondary access between the home and garage, at 3225 ocean blvd , newport beach, orange county.  ",1,1,1
"mickey giacomazzio to restore pre-graded slope in response to los angeles county grading violation with 6,422 cu.yds. of grading, at 274 kanan dume road, near malibu, los angeles county.  ",5,5,5
"helen & marc ausubel for 3,437 sq.ft. 24¼-ft-high single-family home, 2-car garage, swimming pool & spa, septic system, and no grading, at 935 cold canyon road, santa monica mountains, los angeles county.  ",1,1,1
"charles kober to replace wood seawall with concrete seawall, and replace pier, gangway & floating dock with new pier, gangway & floating dock in same location, at 5615 sorrento drive, long beach, los angeles county.  ",6,3,6
"city of del mar to construct various drainage improvements to include new and replacement storm drain pipes, inlets, percolation basins, curbs, gutters and sidewalks, at various locations within public right-of-way along camino del mar, coast blvd., 12th street and 15th street, del mar, san diego county.  ",7,7,7
"david whitt to add 8' x 30' dock extension, 8' x 8' lobe, and one new 14\ diameter concrete pile, to existing 60' long boat dock, at 16306 niantic circle, huntington beach, orange county.  """,3,3,3
"arnold & ana harberger; gemma, kenneth & sol vail; helene tagoni & bruce royer to adjust lot line of two lots, and re-divide 3 lots into three lots, at 1200 & 1316 topanga canyon blvd., topanga, los angeles county.  ",10,10,10
"lawson & suzanne hughes to add 410 sq.ft. to first floor, 334 sq.ft to second floor of 2,006 sq.ft. 25-ft-high duplex & attached 460 sq.ft garage, at 3403 finley, newport beach, orange county.  ",1,1,1
"city of san diego, metropolitan wastewater dept. to remove 200 eucalyptus trees and other exotic vegetation next to penasquitos creek and replant area with 500 mule fat & willow cuttings, in los penasquitos canyon preserve, east of i-5 at sorrento valley boulevard, north city, san diego, san diego county.  ",9,9,9
"alon keyman to remodel and add to 26-ft-high 1,740 sq.ft. single-family home resulting in 26-ft-high 2,314 sq.ft. single-family home with attached garage, at 433 carroll canal, venice, los angeles, los angeles county. .  ",1,1,1
"the lee group, inc. for 30-ft-high 4,045 sq.ft. single-family home & attached 3-car garage, on canal-front lot, at 3609 esplanade, venice, los angeles, los angeles county.   ",1,1,1
"NA2-11-009   application from city of pacifica to approve prior emergency repair and expansion of shoreline protection structure fronting a city stormwater outfall and private property, located at 380 esplanade ave., pacifica, san mateo county  ",6,6,6
"city of san diego, engineering & capital projects dept. to remove berms & fill and restore 12.5 acres of historic riparian wetlands in 16.51-acre site, with grading and drainage facilities, planting and irrigation, and realignment of sewer access road & park trail within sewer easement, east of 4358 sorrento valley blvd., los penasquitos canyon preserve, north city, san diego, san diego county.  ",9,7,7
"paul kempin to construct 26-ft-high 7,414 sq.ft. single-family home, septic system, & swimming pool, at 29208 cliffside drive, malibu, los angeles county.   ",1,1,1
"the william lyon property management group to convert 314 carport spaces to 262 garage spaces at the bluffs apartments, 32400 crown valley parkway, dana point, orange county.  ",2,2,2
"andres davis to adjust lot line between 2 lots, convert detached game room to guesthouse, with grading and on- and off-site drainage improvements on .42 acre site with existing 2,600 sq.ft. single-family home, at 671 ida avenue, solana beach, san diego county.  ",1,10,1
"sarabrook realty advisors, inc. to demolish single family home and construct new, 25 ft.-high, 6162 sq.ft. single family home, at 3124 the strand, hermosa beach, los angeles county.  ",1,1,1
"jessica rains to add to one-story 619 sq.ft. single-family home & detached 1-car garage, resulting in 25-ft-high 2,021 sq.ft. single-family home with 3 parking spaces, at 219 sherman canal, venice, los angeles, los angeles county.  ",1,1,1
"city of monterey for monterey harbor 5-year operations and maintenance program, improvements to coast guard pier launch ramp area, dredging of up to 10,000 cu.yds. over 5 years, and repairs to municipal wharfs 1 & 2 including piling replacement, monterey, monterey county.  ",11,7,7
"22nd district agricultural assoc. to construct 63-ft. high roof over existing open horse arena and enclose ends, at del mar fairgrounds, 2260 jimmy durante blvd., del mar, san diego county.  ",2,2,2
"port calypso to convert 1,101 sq.ft. retail space to restaurant use to expand existing restaurant to 1,480 sq.ft. of public service area with 33 parking spaces after 5:30 p.m. daily, with net public area limited to 1,000 sq.ft. and provision of 21 parking spaces between 6:00 a.m. & 5:30 p.m, at 2633 w. coast hwy., newport beach, orange county.  ",2,2,2
"vaughn and mary koligian to construct 3,600 +/- sq.ft. duplex residential structure on raised pilings, to demolish portion of neighboring residential structure , construct bridge from sidewalk area providing access to new duplex, and other related improvements, at 140 addie st., at mouth of pismo creek and at pismo state beach in pismo beach, san luis obispo county.  ",1,1,1
"edward betz to construct 6,799 sq.ft., 26.5-ft. high from existing grade single family home with 619 sq.ft. attached garage, and septic system on parcel with previously approved pad, including 2,037 cu.yds. of grading  to restore the grade of a second pad area, at 25066 mulholland highway, santa monica mountains, los angeles county.  ",1,1,1
"anderson family partnership, l t d to remodel single-family home, on east side of scenic road , carmel, monterey county.  ",1,1,1
"glen steward to construct 2-story 5,359 sq.ft. single-family home & attached 1,193 sq.ft. garage, on 22,597 sq.ft. lot, at 4481 adams street , agua hedionda, carlsbad, san diego county.  ",1,1,1
"medhat raouf to demolish office building, and construct two 3-story mixed use structures  and shared parking lot on three contiguous lots, at 233 seal beach blvd., seal beach, orange county.  ",2,2,2
"malki tahmasebi to restore site, remove 3,500 cu.yds. of fill, re-landscape restored area, remove culvert & 3500 cu.yds. of fill and re-landscape area with native vegetation, at 5807 busch drive, malibu, los angeles county.  ",9,9,9
"NA6-03-7  county of san diego granted permit with conditions for 14 acre public park with underground parking on site of county administration center parking lots, at 1600 pacific highway, center city, san diego, san diego county.  ",11,11,11
"california department of transportation for water supply line for fire sprinkler system at caltrans bracut maintenance station, at 6100 north highway 101, eureka, humboldt county.  ",4,4,4
"jeff barton, bobbi miller & karl lindenbaum for 1,882 sq.ft. 2-story single-family home, attached 400 sq.ft. garage, septic system, and 40 cu.yds. of grading, at 1836 lookout road, malibu bowl, los angeles county.  ",1,1,1
"the lee group for 30-ft-high 3,072 sq.ft. single-family home & attached 2-car garage on canal-fronting lot, at 429 sherman canal, venice, los angeles, los angeles county.  ",1,1,1
"douglas & sandra jackson to demolish home and construct single-family home on coastal bluff face, at 3631 ocean blvd., newport beach, orange county.  ",1,1,1
"mendocino land trust & mendocino district state parks to demolish and remove two homes, two outbuildings, all fences, two septic tanks, three known wells & related utilities, and restore site to undeveloped condition, at 14500 & 14510 point cabrillo drive, at caspar beach, mendocino county.  ",9,9,9
"dan and jana day to demolish 3,510 sq.ft. single-family home, garage, pool and all hardscape and construct 7,164 sq.ft., 15-ft. high , 2 level  single-family home with attached 725 sq.ft., 2-car garage and 1-car golf cart garage, pool and spa, hardscape and landscaping improvements, with 1,545 cu.yds. of cut and 151 cu.yds. of fill, at 2590 monaco dr., laguna beach, orange county.  ",1,1,1
"beverley higgins for rock revetment at toe of coastal bluff across three beachfront lots to protect existing road and home, 210 cu.yds. of grading to buttress road, stairs along road, retaining walls  along road and below existing home, paving existing road on bluff face, drainage devices, and offer to dedicate lateral public access easement, at 33400 pacific coast highway, malibu, los angeles county.   ",6,6,6
"santa barbara county department of parks & recreation to construct winter dike on back beach up to 15 ft. high and 1,400 ft. long, and second 600-ft-long dike if needed, maintain dike as necessary, and lower dike prior to memorial day, 2002, at goleta beach county park, goleta, santa barbara county.  ",6,7,7
"ocean pacific rockaway, llc to convert 2-story 2,544 sq.ft. triplex on 1,546 sq.ft. oceanfront lot to condominium ownership and provide 3 parking spaces on adjacent lot, at 3785 ocean front walk, mission beach, san diego, san diego county.  ",2,2,2
"rodrigo & barbara rojas to add 8 ft. x 6 ft. extension to rear yard deck, at 402 avenida lacosta, san clemente, orange county.  ",4,4,4
"rob johnson to demolish single-family home and construct 2-story, single-family home with garage, grading, driveway, walkways, patio, tree removal and replanting, at 1359 lighthouse avenue, asilomar dunes area, pacific grove, monterey county.  ",1,1,1
"bill & joyce bromiley for 4,235 sq.ft. 18-ft-high single-family home with daylight basement, attached 2-car garage, swimming pool, spa, and 650 cu.yds. of cut, at 31554 victoria point road, in malibu, los angeles county.  ",1,1,1
"NAr5-93-27  request  denied to revoke permit to pactel cellular for unmanned cellular telecommunication facility, at el morro elementary school, 8681 north pacific coast highway, laguna beach, orange county.  ",11,11,11
"anil sharma to construct two story, 27-ft. high, 7,645 sq. ft. single family residence with attached 724 sq. ft. three-car garage, pool, septic system, re-grade/restore as-built approximate 446 sq. ft. secondary building pad, including 7,820 cu. yds. of grading  and as-built access driveway with turnaround located at 23244 paloma blancha drive, malibu, los angeles county  ",1,1,1
"sea world of california for improvements at existing 166-acre theme park in mission bay park, including 1,400 sq.ft. waiter service station at shamu stadium, 900 sq.ft. storage area behind exit plaza gift shop, 180 sq.ft. sales kiosk, and 200 sq.ft. covered area at shamu's happy harbor for seventy coin-operated lockers for guest use, at 1720 south shores road, mission bay park, san diego, san diego county.   ",2,2,2
"queensway bay & city of long beach for 5-level parking structure with 1,471 parking spaces to serve downtown shoreline area, shoreline park and long beach aquarium of the pacific, and 45-ft-high \queensway bay\"" identification sign, at 201 shoreline drive, long beach, los angeles county.   """,11,2,2
"lynn silverman to demolish 45 sq.ft. of building frontage, 2nd story wooden deck & front yard patio, remodel and add to home to create 30-ft-high 3,153 sq.ft. single-family home & attached 452 sq.ft. garage, on canal front, at 229 howland canal, venice, los angeles, los angeles county.   ",1,1,1
"blake c. bertea to demolish single-family home, and construct 16-ft-high 4,533 sq.ft. single-family home, attached 999 sq.ft. subterranean garage, 215 sq.ft. subterranean wine room, stair access, and 298 sq.ft. 16-ft-high detached guesthouse, at 2470 monaco drive, laguna beach, orange county.  ",1,1,1
"randy and jayne yee to construct 2-story, 4,358 sq. ft., single-family home on 12,150 sq. ft. lot, at 662 canyon drive, solana beach, san diego county.  ",1,1,1
"david contant to add to one-story 926 sq.ft. single-family home, resulting in 30-ft-high 2,247 sq.ft. home with attached 2-car garage on canal front lot, at 213 sherman canal, venice, los angeles, los angeles county.  ",1,1,1
"NA5-02-174  erik anderson, granted permit to demolish single-family home, construct 7,013 sq.ft. 26-ft-high single-family home & attached garage, combine multiple lots into one lot, and reinforce seawall extending 30 feet onto city owned property, at 2210 channel road, newport beach, orange county.  ",1,1,1
"william johnson for 70-ft-long bulkhead fronting newport bay & backfill resulting in fill of 914 sq.ft. of high intertidal sandy habitat, at 1008 west bay avenue, newport beach, orange county.  ",6,6,6
"los angeles county beaches & harbors for two water circulators with 55-inch diameter banana blade propellers and 4.6 kilowatt electric motor, encased in wire cage, at depth of 10 feet, in basin d to improve water quality in basin, at marina beach & basin d, marina del rey, los angeles county.  ",8,9,8
"john shadden trustee for shadden trust to add 4.5 ft. x 7 ft. dock to existing boat dock, at 83 rivo alto canal, long beach, los angeles county.  ",3,3,3
"the lee group for 39-ft-high 3,491 sq.ft. single-family home with attached 3-car garage, improvements to part of voyage mall right-of-way in front of site, and pavement of part of westwind court for vehicular access to site, at 134 voyage mall, marina del rey, marina del rey, los angeles county.   ",1,1,1
"university of california, san diego to place three trailers for temporary model charter school, at marshall college, ucsd, la jolla, san diego, san diego county.  ",2,11,11
"seaworld adventure park for 3,795 sq.ft. 23-ft-high education center building, 16,630 sq.ft. 36-ft-high dormitory & administration building, 690 sq.ft. food service building, picnic area, landscaping and fences, at 500 seaworld drive, mission bay park, san diego, san diego county.  ",2,2,2
"dorothy reik for prefabricated one-story 802 sq.ft. single-family home, deck, new septic system, paved driveway, and on-site trailer during construction, with 50 cu.yds. of cut, at 21801 saddle peak road, topanga, los angeles county.   ",1,1,1
mr. kent valley to remove existing u,3,3,3
"james & peggy lucas to remove 606 sq.ft. section of boardwalk, install four wood piles in intertidal area, construct 1,012-sq.ft. deck addition to existing restaurant over new piles & piles beneath removed boardwalk, and install 7-ft-high wind-screen fencing on 2 sides of deck, at 595 coast highway one, bodega bay, sonoma county.  ",4,5,5
"thomas huchel to remove existing 20 x 9 floating dock, 20 x 3 gangway, and 8 x 5 pier platform and relocate two piles and install new 8 x 12 floating dock, 24 x 3 gangway, and no pier platform at 605 36th st., newport beach, orange county.  ",3,3,3
"steve chou to demolish 2-level duplex and construct 5,605 sq. ft., 42.6 high, 3-level duplex over 814 sq. ft. subterranean, 4-car tandem garage, 750 cu. yds. of cut and dispose excess material at site outside coastal zone at 408 avenida santa barbara, san clemente, orange county.  ",1,1,1
"trent smith to modify existing float, attach fingers, replace 3 existing 12",5,3,3
"t-mobile usa, inc. for wireless telecommunication facility including 12 antennas on 52-ft-high monopole and 160 sq.ft. equipment building at base of pole, at 2144 b street, camp pendleton, san diego county.  ",11,11,11
"william armstrong for 2,500 sq.ft. 24-ft-high pre-school facility for up to 60 children and septic system, with temporary 1,440 sq.ft. double-wide classroom trailer during construction, and no grading, at 3504 las flores canyon road, malibu, los angeles county.  ",2,2,2
"david and marhenelle hibbard to remodel and add 586 sq. ft. to existing 2,015 sq. ft., single-family residence and ancillary improvements, at 36 north la senda drive, laguna beach, orange county.  ",1,1,1
"nann von oppenheim for two 3-story  single-family homes with attached 2-car garages, decks, two septic systems, one vertical seawall/bulkhead, lot line adjustment, 315 cu.yds. of grading, and offer to dedicate lateral public access easement, at 20726 & 20732 pacific coast highway, malibu, los angeles county.  ",1,1,1
"alan murray dba white rock resort cabins to remove 300 cu.yds. of quarry rock , concrete slurry, and cemented-in-place sandbags and transport them offsite, at 16800 highway 101 north, smith river, del norte county.  ",7,7,7
"mhab trust to adjust lot line, divide 35.8 acres into 4 lots , and construct offsite improvements to serra road, with 8,460 cu.yds. of grading for driveways & building pads, northwest of palm canyon and serra roads, malibu .   ",10,10,10
"main street construction, l.l.c. to demolish 700 sq.ft. commercial structure and construct 30-ft-high 3,594 sq.ft. single-family home & attached 3-car garage, at 2216 main street, santa monica, los angeles county.  ",1,1,1
"john jennings and sasha tarnopolsky to convert existing, 1,995 sq.ft., telecommunications facility building into residential structure, include interior remodeling, plumbing and electrical upgrades, and widen existing, 2,220-ft. long, access driveway, requiring 35 cu.yds. of grading, to meet fire access road width requirements. proposed project also includes after-the-fact approval of existing septic system, 23855 saddle peak rd., santa monica mountains, los angeles county.   ",11,2,2
"marengo morton architects to demolish parking lot and construct 2,105 sq.ft. 30-ft-high single-family home over garage, on 1,913 sq.ft. lot, at 3443 ocean front walk, mission beach, san diego, san diego county.  ",1,1,1
"california dept. of transportation  district 7 to widen lincoln boulevard between jefferson blvd. & fiji way to seven travel lanes & one sidewalk on east side of road tapering to six lanes as road approaches fiji way; plus additional lane to connect to culver loop ramp connectors; construct 4-lane bridge over ballona creek parallel to and east of existing bridge; demolish culver blvd. overcrossing & railroad bridge piers, replace with new 65-ft-wide 2-lane overcrossing to carry culver blvd. over lincoln; and install off-road bike & jogging trail between jefferson blvd. & fiji way, and water quality improvements; in playa vista, city of los angeles, and area a playa vista in los angeles county jurisdiction.  ",11,11,11
"city of grover beach for recreational pedestrian path and raised boardwalk at pismo state beach linking grand avenue day use area & \butterfly trees\"" at northern city limit, grover beach, san luis obispo county.  """,11,11,11
"city of san diego engineering & capital projects to retrofit garnet avenue bridge to comply with current earthquake standards, at garnet avenue bridge across rose creek, between pico & bond streets, pacific beach, san diego, san diego county.  ",11,11,11
"the paragon companies for 37-ft-high 4,114 sq.ft. single-family home & attached garage and improve part of westwind court right-of-way for vehicle access to site, at 131 westwind mall, venice, los angeles, los angeles county.  ",1,1,1
"drew & janice leonard to demolish guesthouse, two horse stables, and radius horse pen, decrease size of guesthouse, and construct 28-ft-high 6,792 sq.ft. single-family home, attached 1,123 sq.ft. garage, stable, radius pen, and septic system, at 27355 pacific coast highway, malibu, los angeles county.  ",1,1,1
"carol frederick for two single-family homes on spray avenue , monterey, monterey county.  ",1,1,1
"stephen dominigue to expand 1,625 sq.ft. restaurant by converting adjacent 875 sq.ft. commercial building to restaurant use, at 420 - 422 pier ave., hermosa beach, los angeles county. (jlr-lb  ",2,2,2
"c. christine nichols to construct three-level, 28-ft. high, 3,748 sq. ft. single-family residence with attached two-car garage on vacant 2,640 sq. ft. lot on walk street, at 33 25th avenue, venice, los angeles, los angeles county.  ",1,1,1
"thomas & marilyn maron for 28-ft-high 5,059 sq.ft. single-family home, attached garage, septic system, and 442 cu.yds. of grading, at 28902 verde mesa lane, malibu, los angeles county.  ",1,1,1
"michael blower to remove and replace existing \u\"" shaped floating dock system with same , replace 3 x 20 gangway with 3 x 24 gangway, replace 10 x 14 pier platform, two 14-in. \""t\"" pilings, three 16-in. concrete guide pilings with same, construct 4 x 10 approach, and use douglas fir for decks, at 1513 east bay avenue, balboa island, newport beach, orange county.  """,3,3,3
"northcoast regional land trust to restore 23 acres of brackish marsh habitat and enhance adjacent slough habitat by removing the wood creek tidegate, to provide habitat for salmonids and tide water goby, off of myrtle ave. between felt road and pigeon point road, 2 miles northeast of eureka, humboldt county.  ",9,9,9
"city of santa cruz public works department to clear existing channel in jessie street marsh for flood control; jessie street area, santa cruz , santa cruz county .  ",7,7,7
"anderson family to demolish restaurant & store, and construct multi-use building including 8-unit inn & 3 retail spaces, at 899 embarcadero, morro bay, san luis obispo county.  ",2,2,2
"aera energy llc to remove up to 64 cu.yds. of soil and up to 2,270 sq.ft. of wetland vegetation contaminated by oil spills, and grade and re-establish 4,520 sq.ft. pickleweed salt marsh habitat in wet cell 38 in bolsa chica lowlands, orange county.  ",9,9,9
"mr lynn r. call to grade 10-ft-wide access road for soil testing, at 19873 mountain view trail, topanga, los angeles county.  ",5,5,5
"chris & jerry baker to demolish single-family home to facilitate new 1,795 sq.ft. single-family home, on casanova street , carmel, monterey county.  ",1,1,1
"city of solana beach for interchange improvements at lomas santa fe drive & interstate 5  including new loop ramps, widening i-5 undercrossing, new north- and southbound auxiliary lanes, rerouting marine view avenue at san andres drive, and landscaping and various sound & retaining walls, solana beach, san diego county.  ",11,11,11
"lankford family trust to remodel and add to home  with no change to 735 sq.ft. apartment over 2-car garage and no new parking, at 315 larkspur avenue, corona del mar, newport beach, orange county.  ",1,2,1
"NA6-04-140-a1  request by city of coronado to amend permit to demolish lifeguard tower and construct replacement lifeguard tower and restroom facility on beach and revise special condition nos. 2 & 4 to allow staging and storage of construction equipment and materials during summer season , at central beach and north beach, coronado, san diego county.  ",11,11,11
"tim c. bailly to construct 3-story, 30-ft. high , 3,679 sq.ft. single-family home with attached 2-car garage on vacant canal fronting lot, at 455 sherman canal, venice, los angeles, los angeles county.  ",1,1,1
"marc & michele atlan to remodel and add to 1-story single-family home on canal-front lot, resulting in 30-ft-high 2,180 sq.ft. home with attached 2-car garage, at 434 carroll canal, venice, los angeles, los angeles county.  ",1,1,1
"val vaden and lilli rey to construct single-family home along 23rd avenue fronting corcoran lagoon/santa maria cliffs beach in the live oak beach area, santa cruz county.  ",1,1,1
"a v p for temporary bleachers , staging, tents/canopies, vendor booths, four inflatable advertisements , seven volleyball courts  and shuttle bus service to nearby parking lots for avp beach volleyball tournament with admission charge for 25% of seats  on august 14-16, 1998, with set-up 8/10-13/98, and tear-down 8/17-18/98, at 100 pier avenue, hermosa beach, los angeles county.  ",11,11,11
"NA5-03-13  mt. no. i, l l c granted permit with conditions to divide 201 acres of marblehead site in coastal zone, construct 313 single-family homes, 141,506 sq.ft. of commercial space in ten buildings, public parks, public & private open space, pedestrian & bicycle trails, private & public streets, and emergency bluff stabilization grading, inland of el camino real, northwest of avenida pico, and southwest of i-5 freeway, san clemente, orange county.  ",10,1,1
"NA6-00-66  robert & wanda monroe and glenn & beatrice pierce granted permit with conditions to fill sea cave with colored & textured erodible concrete at base of sea cliff below two residential lots, at 141 & 197 pacific avenue, solana beach, san diego county.  ",7,5,7
"diversified holdings, l.l.c. for 45-ft-high 4,971 sq.ft. single-family home & attached 3-car garage, at 122 channel pointe mall, venice, los angeles, los angeles county.  ",1,1,1
"kim komick to demolish 11 apartments, and construct 19,644 sq.ft. 30-ft-high 8-unit condominium with 28 parking spaces, at 1005-1019 monterey blvd., hermosa beach, los angeles county.  ",2,2,2
"dr. hooshang and zahra ghaffari to construct 5,925 sq. ft., single-family home with 780 sq. ft. attached garage, driveway, turnaround, swimming pool, and septic system at 25044 mulholland highway, los angeles county.   ",1,1,1
"grant & barbara johnson for 2,303 sq.ft. 2-story single-family home & attached 590 sq.ft. garage on vacant canyon lot, at 232 west palizada, san clemente, orange county.  ",1,1,1
"michael & susan schoff to construct 752 sq.ft. addition to second story and 35 sq.ft. addition to first story, and replace second story deck on existing 4,506 sq.ft. single-family home on 15,925 sq.ft. oceanfront lot, at 5115 shore drive, carlsbad, san diego county.   ",1,1,1
"rincon island limited partnership to carry out repairs on 2,732 ft. long causeway connecting rincon island to shore punta gorda and replace 285 cu. yds. of rock rip-rap at punta gorda revetment, ventura county.  ",6,6,6
"marvin stutz & donna mckenna to construct 23-ft-high 2,848 sq.ft. accessory building with garage, workshop, bathroom, storage room & guest room and fire control wall, replace septic system, and remove chicken house, shack, corral & shade structure, at 6692 wildlife road, malibu, los angeles county.  ",2,1,1
"la salle hotel properties to remove 9,000 sq.ft., temporary event tent structure and 3 tennis courts, and construct single-story, 16,500 sq.ft. conference center within same area of existing resort hotel complex, and construct new swimming pool in different area of complex, at 1775 e. mission bay drive, mission bay park, san diego, san diego county.  ",11,2,2
"gerald & shirley sayles for 4,592 sq.ft. 2-story single-family home, 3- car garage, swimming pool with alternative water purification system, septic system, landscaping, driveway, 1,268 cu.yds of grading, extension of private road, drainage culvert, dissipater runoff filtration system, erosion control swales, water main improvements, and temporary construction trailer, at 20580 west betton drive, malibu, los angeles county.  ",1,1,1
"redevelopment agency of the city of santa monica for development agreement between redevelopment agency of the city of santa monica and related/santa monica village, llc to construct mixed use development with max. height of structures totaling 65 ft. and 96 ft. and designed to achieve certified leed silver status. project consists of 164 market-rate condominiums; 160 affordable rental units; 20,000 sq.ft. of ground floor retail/restaurant space, with 3,000 sq.ft. of outdoor dining; 619 parking spaces; public access improvements; and landscaping, including photovoltaic system on the roof, at 1600-1800 block east side of ocean avenue/west side of main street, santa monica, los angeles county.  ",2,2,2
"carol h. weller for 2-story 2,614 sq.ft. single-family home with attached 2-car garage on canal-front lot, at 429 sherman canal, venice, los angeles, los angeles county.  ",1,1,1
"demetrius doukoullos for 5,039 sq.ft. 2-story single-family home with 3 parking spaces, on beach front lot, at 1722 the strand, hermosa beach, los angeles county.  ",1,1,1
